0	1	glitteremmy	 Sat Sep 11 01:14:00 +0000 2021	0	 @ghtrack11 dancing queen by abba!!	ghtrack11 dancing queen abba	war	-1
1	2	loubegasimp	 Sat Sep 11 01:13:25 +0000 2021	0	 Fuck yeah ABBA coming in HOT in 2021	fuck yeah abba coming hot 2021	war	-1
2	3	rickimnotavegan	 Sat Sep 11 01:12:13 +0000 2021	0	 “Abba Megethius once said  Orignally when we met together \nwe spoke of edifying things we were like angels we as… https://t.co/PWHcQYG0Oo	“ abba megethius said orignally met together spoke edifying things like angels as…	war	-1
3	4	nhutcracker	 Sat Sep 11 01:11:33 +0000 2021	0	 @Threes_Company ABBA - Dancing Queen	threescompany abba dancing queen	war	-1
4	5	HelenWestern	 Sat Sep 11 01:10:42 +0000 2021	0	 Listen out for 'I Still Have Faith In You' @JohnTorode1 Abba's main song that leads their return. It has me floods.… https://t.co/4GynnfyuXF	listen still faith johntorode1 abbas main song leads return floods…	war	-1
5	6	ilovefrogs1234	 Sat Sep 11 01:10:10 +0000 2021	0	 some silly fuck said ABBA most me skint because they've released new music if being worth  900 million is "skint" t… https://t.co/WLn4dEIYI1	silly fuck said abba skint theyve released new music worth 900 million skint t…	war	-1
6	7	TimBoard64	 Sat Sep 11 01:09:27 +0000 2021	0	 I'm really enjoying watching the reaction videos of people hearing @ABBA's "I Still Have Faith in You" and "Don't S… https://t.co/TSzqukEke5	im really enjoying watching reaction videos people hearing abbas still faith dont s…	war	0
7	8	YosvaniRamos	 Sat Sep 11 01:09:11 +0000 2021	0	 Living in a Lie by @OfficialSteps it’s giving me ABBA vibes. Loving the new album! But then again I always love eve… https://t.co/lPzhTdWVYw	living lie officialsteps ’ giving abba vibes loving new album always love eve…	war	0
8	9	Larrylookout_81	 Sat Sep 11 01:08:48 +0000 2021	0	 @HollyWithAnIE Abba is super rad. There are a lot of great Swedish groups producers.	hollywithanie abba super rad lot great swedish groups producers	war	0
9	10	FinlaySsb	 Sat Sep 11 01:08:08 +0000 2021	0	 @Riddlesmk abba going crazy with gimme gimme gimme in the background makes this sequence so much funnier	riddlesmk abba going crazy gim gim gim background makes sequence much funny	war	-1
10	11	seachellw	 Sat Sep 11 01:07:19 +0000 2021	0	 @kothy_masks dancing queen by abba	kothymasks dancing queen abba	war	-1
